,run_date,max_amplitude_date,symbol,max_amplitude
0,2024-09-12,2024-09-11,eur,0.005484999999999962
1,2024-09-12,2024-09-04,usd,0.0
2,2024-09-12,2024-08-31,nzd,0.016243000000000007
3,2024-09-12,2024-09-11,gbp,0.005430000000000046
4,2024-09-12,2024-09-02,jpy,5.221004999999991
5,2024-09-12,2024-08-31,cad,0.008492999999999862
6,2024-09-12,2024-09-02,vnd,287.5
